customer_id,gender,age,city,Order_id,restaurant_name,dish_name,category,qunatity,price,payment_method,order_frequency,loyality_points,churned,rating,delivery_status
C6362,Female,Senior,Islamabad,O10362,Burger King,Pizza,Chinese,4,343.52,Card,34,164,Active,3,Delivered
C6340,Male,Senior,Multan,O10340,Burger King,Sandwich,Continental,2,209.77,Cash,16,453,Active,3,Cancelled
C5444,Other,Teenager,Peshawar,O9444,Subway,Pasta,Chinese,3,1052.17,Cash,12,14,Inactive,3,Delayed
C1454,Female,Adult,Islamabad,O5454,McDonald's,Pizza,Italian,2,1030.25,Wallet,5,273,Active,1,Cancelled
C4748,Other,Adult,Peshawar,O8748,Subway,Sandwich,Italian,5,909.48,Wallet,3,224,Inactive,3,Cancelled
C2827,Male,Teenager,Multan,O6827,Pizza Hut,Sandwich,Italian,3,192.88,Wallet,26,18,Active,3,Cancelled
C3338,Female,Senior,Lahore,O7338,McDonald's,Burger,Chinese,2,1471.81,Wallet,25,444,Active,3,Delivered
C1614,Other,Adult,Lahore,O5614,Subway,Pizza,Italian,1,956.03,Card,39,167,Inactive,5,Delivered
C4382,Male,Senior,Multan,O8382,Pizza Hut,Pizza,Dessert,3,222.14,Wallet,4,148,Inactive,2,Delayed
C1827,Other,Adult,Lahore,O5827,Burger King,Pasta,Italian,2,522,Cash,12,246,Inactive,3,Delayed
C5009,Male,Teenager,Islamabad,O9009,Pizza Hut,Pizza,Italian,3,795.3,Card,15,179,Inactive,4,Delayed
C3152,Other,Teenager,Multan,O7152,Subway,Burger,Chinese,3,768.49,Wallet,40,495,Inactive,5,Delivered
C4729,Female,Teenager,Multan,O8729,KFC,Fries,Chinese,2,198.12,Card,7,13,Inactive,3,Cancelled
C5046,Other,Teenager,Islamabad,O9046,KFC,Fries,Chinese,1,196.28,Card,22,378,Inactive,4,Delivered
C3588,Other,Teenager,Lahore,O7588,Subway,Burger,Continental,1,364.91,Card,1,98,Active,5,Delayed
C3247,Female,Senior,Multan,O7247,McDonald's,Sandwich,Italian,5,275.53,Cash,7,138,Active,2,Delivered
C2454,Other,Teenager,Karachi,O6454,KFC,Pizza,Italian,1,249.9,Cash,20,70,Inactive,1,Delayed
C4046,Other,Adult,Karachi,O8046,Subway,Sandwich,Continental,4,1226.08,Cash,32,372,Active,4,Delivered
C6194,Female,Adult,Lahore,O10194,Subway,Fries,Continental,3,1120.65,Card,46,453,Active,4,Cancelled
C5845,Other,Senior,Multan,O9845,Subway,Sandwich,Fast Food,3,1056.2,Card,26,116,Active,5,Cancelled
C6804,Female,Adult,Peshawar,O10804,Burger King,Burger,Continental,3,931.02,Wallet,30,211,Inactive,3,Delayed
C1490,Other,Senior,Lahore,O5490,Pizza Hut,Pizza,Fast Food,2,1431.45,Wallet,15,190,Inactive,4,Cancelled
C4203,Male,Adult,Multan,O8203,KFC,Pizza,Italian,5,167.62,Card,13,388,Active,4,Delivered
C6818,Male,Adult,Islamabad,O10818,Subway,Pasta,Chinese,2,118.82,Card,12,87,Active,1,Cancelled
C2583,Female,Adult,Karachi,O6583,Pizza Hut,Pasta,Fast Food,1,492.46,Cash,10,383,Active,1,Delivered
C1891,Male,Teenager,Multan,O5891,Pizza Hut,Pasta,Chinese,5,1275.96,Card,28,312,Inactive,2,Delivered
C1972,Male,Teenager,Multan,O5972,McDonald's,Sandwich,Chinese,1,1462.99,Wallet,36,316,Inactive,4,Cancelled
C5895,Female,Adult,Karachi,O9895,McDonald's,Pasta,Chinese,2,1221.24,Cash,13,286,Active,4,Cancelled
C5179,Male,Adult,Multan,O9179,McDonald's,Pasta,Fast Food,1,1033.71,Card,47,4,Active,2,Delivered
C3147,Female,Adult,Islamabad,O7147,Burger King,Pizza,Continental,4,299.44,Cash,27,480,Inactive,3,Delivered
C3256,Other,Senior,Islamabad,O7256,Pizza Hut,Pasta,Dessert,3,1310.72,Wallet,41,47,Active,3,Cancelled
C3011,Male,Teenager,Islamabad,O7011,KFC,Pizza,Italian,4,343.94,Cash,20,389,Active,3,Cancelled
C2727,Other,Senior,Karachi,O6727,Subway,Pizza,Continental,1,1416.38,Wallet,27,25,Inactive,3,Cancelled
C5922,Other,Adult,Islamabad,O9922,Pizza Hut,Fries,Dessert,3,622.55,Cash,32,92,Active,3,Delayed
C3797,Other,Teenager,Islamabad,O7797,Burger King,Burger,Chinese,3,266.63,Wallet,13,429,Active,2,Cancelled
C5286,Other,Adult,Peshawar,O9286,KFC,Fries,Continental,4,1052.03,Cash,44,107,Inactive,4,Delivered
C3379,Other,Adult,Peshawar,O7379,McDonald's,Burger,Italian,3,519.94,Card,30,195,Active,1,Delivered
C4465,Female,Adult,Islamabad,O8465,Burger King,Pizza,Italian,2,1296.57,Card,16,31,Inactive,3,Cancelled
C4554,Other,Teenager,Lahore,O8554,Subway,Sandwich,Continental,5,575.25,Card,8,168,Active,1,Cancelled
C1842,Female,Teenager,Lahore,O5842,Pizza Hut,Pasta,Dessert,3,1487.08,Cash,2,205,Active,5,Delivered
C1557,Female,Teenager,Peshawar,O5557,Burger King,Pizza,Chinese,1,1071.22,Cash,5,56,Inactive,5,Delivered
C6668,Other,Senior,Lahore,O10668,Pizza Hut,Burger,Fast Food,2,181.27,Cash,12,364,Inactive,5,Cancelled
C6686,Female,Senior,Peshawar,O10686,KFC,Burger,Fast Food,1,397.47,Wallet,5,180,Active,1,Cancelled
C3239,Female,Senior,Lahore,O7239,Pizza Hut,Fries,Chinese,5,1475.86,Card,13,59,Active,4,Cancelled
C1207,Other,Teenager,Peshawar,O5207,McDonald's,Pizza,Italian,4,1143.99,Wallet,26,323,Inactive,4,Delivered
C6466,Other,Senior,Islamabad,O10466,KFC,Fries,Chinese,1,1492.84,Wallet,50,423,Active,1,Cancelled
C6687,Other,Adult,Islamabad,O10687,KFC,Pasta,Italian,3,101.29,Wallet,28,468,Inactive,3,Delivered
C3210,Other,Teenager,Karachi,O7210,Burger King,Pasta,Fast Food,2,528.24,Cash,24,149,Inactive,4,Delayed
C2375,Female,Teenager,Peshawar,O6375,McDonald's,Burger,Continental,3,716.53,Card,3,432,Inactive,1,Cancelled
C3484,Male,Senior,Peshawar,O7484,Subway,Pasta,Fast Food,3,1135.18,Cash,2,113,Active,2,Cancelled
C3775,Other,Adult,Multan,O7775,Burger King,Fries,Chinese,2,388.86,Cash,31,39,Inactive,3,Cancelled
C5566,Other,Teenager,Islamabad,O9566,Subway,Pasta,Dessert,5,362.35,Cash,23,309,Active,5,Delayed
C3733,Male,Adult,Multan,O7733,Burger King,Sandwich,Continental,4,172.76,Wallet,23,356,Inactive,5,Delivered
C5134,Male,Senior,Lahore,O9134,Burger King,Sandwich,Chinese,3,184.12,Card,41,491,Inactive,4,Cancelled
C4670,Other,Adult,Peshawar,O8670,Pizza Hut,Fries,Italian,3,124.6,Card,26,297,Inactive,2,Cancelled
C2760,Other,Teenager,Lahore,O6760,McDonald's,Pizza,Dessert,4,664.08,Cash,20,354,Inactive,3,Cancelled
C6071,Female,Senior,Peshawar,O10071,Pizza Hut,Pizza,Continental,1,1465.02,Card,45,420,Active,1,Delivered
C5186,Female,Adult,Peshawar,O9186,Subway,Pizza,Continental,2,158.21,Cash,8,321,Active,3,Delayed
C3464,Other,Adult,Peshawar,O7464,Pizza Hut,Pizza,Continental,2,949.78,Card,46,435,Active,1,Cancelled
C5340,Male,Teenager,Peshawar,O9340,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,328,Inactive,2,Delayed
C5353,Male,Adult,Islamabad,O9353,KFC,Pizza,Dessert,2,1491.88,Cash,44,330,Active,5,Delayed
C6843,Other,Senior,Multan,O10843,KFC,Pizza,Italian,4,1014.28,Card,41,0,Active,1,Delivered
C5132,Male,Teenager,Lahore,O9132,Subway,Burger,Fast Food,2,941.02,Wallet,5,468,Active,1,Delivered
C2398,Other,Senior,Islamabad,O6398,Subway,Pasta,Chinese,1,1187.79,Cash,41,22,Inactive,2,Cancelled
C5122,Other,Senior,Multan,O9122,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,293,Active,1,Delayed
C6532,Female,Senior,Islamabad,O10532,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,170,Inactive,3,Delayed
C1833,Other,Adult,Peshawar,O5833,KFC,Burger,Chinese,4,599.35,Cash,3,322,Inactive,2,Cancelled
C2040,Male,Senior,Peshawar,O6040,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,291,Inactive,3,Cancelled
C2631,Female,Adult,Lahore,O6631,Subway,Pasta,Continental,2,1174.62,Card,50,64,Active,5,Cancelled
C3877,Other,Teenager,Islamabad,O7877,KFC,Fries,Continental,4,213.52,Cash,50,24,Active,3,Cancelled
C4158,Male,Senior,Islamabad,O8158,KFC,Fries,Chinese,3,566.9,Wallet,22,387,Active,3,Cancelled
C3705,Other,Teenager,Lahore,O7705,Burger King,Pasta,Italian,3,881.71,Wallet,16,26,Active,2,Cancelled
C5223,Other,Adult,Multan,O9223,Subway,Fries,Chinese,3,1142.45,Wallet,9,397,Inactive,1,Delayed
C4259,Male,Teenager,Islamabad,O8259,McDonald's,Fries,Continental,3,734.85,Card,48,245,Active,4,Delivered
C4636,Female,Teenager,Lahore,O8636,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,62,Active,1,Delayed
C3087,Female,Adult,Peshawar,O7087,Subway,Pizza,Italian,2,526.39,Wallet,7,83,Inactive,1,Delayed
C6268,Male,Teenager,Islamabad,O10268,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,193,Active,5,Cancelled
C1434,Other,Senior,Multan,O5434,Subway,Burger,Chinese,4,949.24,Card,21,264,Active,2,Cancelled
C3992,Male,Teenager,Lahore,O7992,Subway,Fries,Italian,5,904.16,Card,10,118,Inactive,4,Delayed
C4725,Other,Senior,Islamabad,O8725,Subway,Pizza,Continental,4,321.23,Wallet,32,145,Inactive,2,Delivered
C3703,Other,Teenager,Multan,O7703,McDonald's,Fries,Fast Food,4,1071.49,Card,39,1,Active,2,Delayed
C1727,Male,Adult,Multan,O5727,Burger King,Fries,Dessert,3,465.28,Wallet,4,71,Active,4,Delivered
C2154,Male,Teenager,Peshawar,O6154,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,363,Active,2,Delivered
C6419,Female,Senior,Peshawar,O10419,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,183,Active,3,Delivered
C6318,Male,Teenager,Islamabad,O10318,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,185,Active,4,Cancelled
C5633,Other,Adult,Lahore,O9633,KFC,Fries,Italian,5,218.68,Wallet,26,249,Active,4,Delivered
C5834,Other,Adult,Multan,O9834,Pizza Hut,Burger,Dessert,4,395.88,Card,37,113,Inactive,3,Delayed
C1356,Female,Teenager,Islamabad,O5356,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,452,Inactive,1,Delayed
C6282,Female,Senior,Lahore,O10282,KFC,Sandwich,Italian,5,626.86,Card,47,117,Inactive,4,Delayed
C3241,Other,Adult,Peshawar,O7241,McDonald's,Fries,Dessert,3,667.31,Cash,22,375,Active,3,Delivered
C4303,Male,Adult,Multan,O8303,KFC,Sandwich,Dessert,2,893.55,Cash,17,497,Inactive,3,Delayed
C6640,Female,Adult,Karachi,O10640,Subway,Pasta,Italian,1,368.03,Cash,25,83,Inactive,4,Delayed
C1410,Male,Teenager,Karachi,O5410,KFC,Fries,Fast Food,1,708.22,Cash,39,441,Active,5,Delayed
C2514,Male,Teenager,Multan,O6514,Burger King,Burger,Fast Food,3,892.81,Cash,25,335,Inactive,4,Cancelled
C5399,Other,Teenager,Lahore,O9399,Burger King,Burger,Continental,4,1043.78,Card,6,114,Active,2,Delayed
C5621,Other,Senior,Islamabad,O9621,Burger King,Fries,Italian,5,162.05,Wallet,27,271,Inactive,2,Cancelled
C2832,Other,Teenager,Peshawar,O6832,McDonald's,Pasta,Italian,4,792.08,Card,19,296,Inactive,4,Delivered
C6876,Female,Teenager,Islamabad,O10876,KFC,Pasta,Dessert,5,1356.66,Card,30,470,Inactive,4,Cancelled
C1577,Male,Senior,Karachi,O5577,KFC,Pizza,Italian,1,820.53,Card,18,402,Inactive,1,Delivered
C5668,Female,Adult,Multan,O9668,KFC,Burger,Fast Food,2,1115.36,Card,9,294,Active,2,Delayed
C1370,Male,Senior,Lahore,O5370,KFC,Pasta,Chinese,3,1186.98,Card,11,134,Inactive,2,Cancelled
C5722,Male,Teenager,Multan,O9722,Burger King,Fries,Continental,2,1215.67,Wallet,8,186,Inactive,4,Delivered
C6273,Male,Teenager,Peshawar,O10273,Burger King,Pizza,Chinese,2,614,Card,21,52,Active,3,Cancelled
C3949,Male,Adult,Peshawar,O7949,Burger King,Sandwich,Chinese,2,212.59,Cash,26,302,Active,1,Delivered
C1847,Male,Senior,Lahore,O5847,Subway,Fries,Continental,3,1097.28,Card,20,22,Active,5,Delayed
C6999,Female,Adult,Multan,O10999,Subway,Sandwich,Continental,2,1033.59,Card,1,255,Active,1,Delayed
C3717,Female,Senior,Islamabad,O7717,Burger King,Burger,Fast Food,4,466.04,Cash,27,169,Inactive,1,Cancelled
C6796,Other,Teenager,Lahore,O10796,KFC,Burger,Chinese,2,724.91,Cash,18,438,Inactive,4,Cancelled
C1799,Male,Adult,Multan,O5799,Burger King,Burger,Fast Food,3,1128.96,Card,12,487,Active,3,Cancelled
C3815,Male,Teenager,Karachi,O7815,Pizza Hut,Fries,Italian,5,122.84,Cash,43,104,Active,5,Delivered
C5637,Male,Senior,Lahore,O9637,Subway,Fries,Continental,3,440,Wallet,11,497,Active,3,Delivered
C2045,Male,Adult,Karachi,O6045,Burger King,Sandwich,Chinese,2,1207.62,Wallet,46,91,Active,2,Delivered
C4628,Female,Adult,Peshawar,O8628,McDonald's,Pizza,Continental,3,1147.65,Wallet,45,353,Active,4,Delivered
C4407,Other,Adult,Peshawar,O8407,Pizza Hut,Sandwich,Continental,5,1203.99,Wallet,1,106,Inactive,4,Delayed
C5061,Female,Teenager,Karachi,O9061,McDonald's,Burger,Chinese,2,1417.09,Card,46,355,Active,3,Cancelled
C4423,Male,Teenager,Karachi,O8423,Pizza Hut,Fries,Italian,5,1010.15,Cash,25,461,Active,3,Cancelled
C2522,Other,Teenager,Peshawar,O6522,KFC,Sandwich,Italian,4,589.82,Cash,28,162,Inactive,2,Delivered
C2161,Female,Senior,Karachi,O6161,KFC,Pizza,Fast Food,1,394.08,Card,1,169,Inactive,4,Delayed
C2167,Male,Senior,Multan,O6167,McDonald's,Sandwich,Italian,4,1460.35,Card,9,315,Active,5,Cancelled
C5088,Other,Senior,Lahore,O9088,Subway,Pasta,Fast Food,5,1397.42,Card,18,36,Active,2,Cancelled
C3941,Other,Adult,Lahore,O7941,Burger King,Sandwich,Italian,3,257.86,Wallet,47,327,Inactive,5,Cancelled
C2536,Female,Adult,Karachi,O6536,McDonald's,Burger,Fast Food,3,882.75,Wallet,16,13,Active,4,Delayed
C3321,Male,Teenager,Multan,O7321,Burger King,Pasta,Dessert,5,689.01,Card,3,189,Inactive,3,Cancelled
C1075,Male,Adult,Lahore,O5075,Subway,Pasta,Continental,2,1452.79,Cash,30,382,Active,4,Cancelled
C5413,Other,Teenager,Islamabad,O9413,Subway,Pasta,Chinese,3,460.45,Card,40,4,Active,4,Cancelled
C6438,Male,Senior,Lahore,O10438,Burger King,Pasta,Continental,3,648.85,Card,36,289,Inactive,5,Delivered
C6145,Male,Senior,Multan,O10145,Subway,Fries,Continental,1,512.77,Cash,18,434,Inactive,1,Cancelled
C6172,Other,Adult,Islamabad,O10172,Burger King,Burger,Italian,3,1443.13,Card,1,0,Inactive,1,Delayed
C3641,Male,Adult,Karachi,O7641,Burger King,Sandwich,Continental,3,191.26,Card,33,393,Inactive,2,Cancelled
C3998,Female,Senior,Karachi,O7998,Pizza Hut,Pasta,Fast Food,1,309.02,Card,2,477,Active,5,Cancelled
C6266,Other,Senior,Karachi,O10266,Pizza Hut,Burger,Dessert,3,465.95,Card,38,275,Inactive,4,Cancelled
C4699,Other,Senior,Islamabad,O8699,McDonald's,Pasta,Fast Food,5,749.95,Card,38,84,Active,2,Delayed
C3956,Other,Teenager,Lahore,O7956,Pizza Hut,Pizza,Chinese,5,365.02,Cash,49,296,Inactive,4,Cancelled
C6753,Other,Teenager,Multan,O10753,KFC,Sandwich,Dessert,5,172.45,Cash,6,338,Active,5,Cancelled
C1279,Female,Teenager,Karachi,O5279,KFC,Sandwich,Dessert,4,167.37,Cash,24,442,Inactive,3,Delayed
C2458,Female,Adult,Islamabad,O6458,Burger King,Fries,Fast Food,3,1442.35,Wallet,13,188,Inactive,1,Delayed
C5113,Female,Adult,Peshawar,O9113,Burger King,Pizza,Fast Food,5,1381.09,Wallet,23,193,Inactive,1,Delivered
C1800,Female,Adult,Multan,O5800,KFC,Burger,Chinese,4,412.61,Cash,47,392,Active,2,Delayed
C3333,Other,Teenager,Lahore,O7333,McDonald's,Burger,Dessert,5,819.6,Cash,47,317,Inactive,3,Delivered
C6015,Other,Adult,Islamabad,O10015,Burger King,Pasta,Continental,1,1423.77,Wallet,24,197,Inactive,3,Cancelled
C2280,Male,Teenager,Karachi,O6280,McDonald's,Burger,Chinese,1,739.3,Cash,14,481,Inactive,2,Cancelled
C5166,Female,Teenager,Karachi,O9166,McDonald's,Pasta,Chinese,3,898.92,Cash,27,169,Active,3,Delivered
C3672,Male,Adult,Karachi,O7672,McDonald's,Sandwich,Italian,1,1394.3,Cash,16,288,Inactive,5,Cancelled
C1043,Other,Senior,Multan,O5043,Pizza Hut,Pizza,Continental,1,664.72,Card,11,356,Inactive,2,Delayed
C4592,Other,Senior,Peshawar,O8592,KFC,Sandwich,Italian,1,1064.71,Card,12,41,Active,4,Delivered
C5410,Male,Senior,Multan,O9410,Burger King,Sandwich,Continental,2,1217.64,Cash,27,115,Active,4,Delayed
C1176,Other,Adult,Lahore,O5176,Pizza Hut,Sandwich,Dessert,2,746.63,Card,47,162,Active,5,Delivered
C2453,Other,Senior,Peshawar,O6453,Burger King,Pizza,Continental,3,889.41,Cash,24,101,Active,5,Cancelled
C6181,Other,Adult,Karachi,O10181,Subway,Fries,Chinese,5,752.8,Card,33,76,Inactive,4,Delivered
C5067,Male,Senior,Multan,O9067,Pizza Hut,Burger,Fast Food,1,582.15,Cash,13,492,Active,5,Delayed
C1918,Male,Teenager,Multan,O5918,Pizza Hut,Pasta,Continental,5,1367.65,Wallet,7,297,Inactive,4,Delivered
C1875,Male,Teenager,Lahore,O5875,KFC,Burger,Chinese,5,1454.36,Card,32,80,Inactive,4,Cancelled
C3778,Female,Teenager,Lahore,O7778,Subway,Sandwich,Chinese,4,802.86,Wallet,44,97,Active,4,Delayed
C5964,Male,Senior,Karachi,O9964,Subway,Pasta,Italian,3,1382.02,Wallet,6,26,Inactive,1,Cancelled
C5102,Male,Adult,Multan,O9102,Burger King,Pizza,Chinese,3,1275.91,Card,33,368,Active,4,Delayed
C5371,Other,Adult,Karachi,O9371,McDonald's,Fries,Fast Food,2,899.49,Card,29,209,Active,3,Delayed
C6700,Male,Adult,Islamabad,O10700,McDonald's,Fries,Dessert,4,483.89,Cash,11,493,Active,2,Delayed
C6335,Other,Senior,Lahore,O10335,Subway,Burger,Continental,1,390.24,Cash,49,180,Inactive,1,Delayed
C3605,Female,Adult,Lahore,O7605,Subway,Fries,Italian,5,1070.43,Wallet,20,248,Active,4,Delayed
C2306,Other,Senior,Multan,O6306,McDonald's,Fries,Fast Food,4,1264.25,Cash,26,337,Inactive,1,Cancelled
C4819,Female,Teenager,Islamabad,O8819,Pizza Hut,Pizza,Chinese,3,1317.92,Card,19,60,Active,3,Delayed
C6883,Other,Senior,Peshawar,O10883,Burger King,Pizza,Chinese,1,1116.09,Card,14,83,Active,2,Cancelled
C1905,Female,Senior,Multan,O5905,McDonald's,Pizza,Fast Food,5,1335.23,Wallet,11,302,Active,5,Delivered
C2556,Female,Senior,Islamabad,O6556,Pizza Hut,Pasta,Italian,1,1352.98,Wallet,42,494,Active,3,Delivered
C4282,Female,Senior,Lahore,O8282,Subway,Pasta,Fast Food,4,1125.3,Cash,1,10,Inactive,2,Cancelled
C3554,Male,Teenager,Karachi,O7554,Pizza Hut,Burger,Fast Food,2,940.68,Card,49,225,Inactive,4,Delivered
C6465,Female,Senior,Karachi,O10465,McDonald's,Pizza,Chinese,3,952.38,Card,31,12,Active,3,Delivered
C5563,Male,Teenager,Karachi,O9563,Subway,Burger,Fast Food,2,502.9,Wallet,32,189,Inactive,2,Delivered
C6797,Other,Senior,Peshawar,O10797,Subway,Pizza,Italian,3,1262.54,Card,39,114,Active,1,Cancelled
C3507,Male,Senior,Islamabad,O7507,Subway,Pasta,Fast Food,3,1023.64,Wallet,24,443,Active,5,Delayed
C1366,Other,Senior,Multan,O5366,Subway,Burger,Chinese,5,532.27,Cash,4,9,Active,1,Cancelled
C3821,Other,Senior,Peshawar,O7821,Burger King,Burger,Continental,4,1219.14,Wallet,48,167,Inactive,2,Delivered
C2765,Other,Teenager,Lahore,O6765,Pizza Hut,Fries,Fast Food,3,1435.15,Cash,31,8,Active,4,Delivered
C4309,Male,Teenager,Lahore,O8309,Pizza Hut,Fries,Italian,4,1072.07,Card,24,429,Active,4,Delivered
C2848,Male,Teenager,Lahore,O6848,McDonald's,Pizza,Dessert,1,1419.33,Cash,48,155,Active,5,Delayed
C3174,Other,Senior,Multan,O7174,McDonald's,Burger,Fast Food,3,1016.5,Card,23,235,Inactive,3,Delayed
C4516,Other,Senior,Islamabad,O8516,Subway,Burger,Continental,4,1364.01,Wallet,48,165,Inactive,1,Delivered
C6840,Other,Senior,Multan,O10840,Subway,Burger,Chinese,2,489.76,Wallet,26,120,Active,5,Cancelled
C1702,Female,Senior,Multan,O5702,Pizza Hut,Sandwich,Chinese,1,1266.44,Wallet,3,437,Inactive,5,Delayed
C4472,Male,Adult,Multan,O8472,Subway,Burger,Italian,4,1161.7,Wallet,21,177,Active,5,Delivered
C2711,Other,Adult,Islamabad,O6711,Subway,Burger,Continental,2,647.62,Wallet,16,375,Inactive,5,Delayed
C4540,Male,Senior,Multan,O8540,KFC,Sandwich,Dessert,2,179.31,Card,17,210,Active,5,Delayed
C4401,Male,Adult,Karachi,O8401,KFC,Burger,Italian,3,923.55,Cash,18,275,Inactive,2,Cancelled
C2277,Male,Senior,Peshawar,O6277,KFC,Fries,Chinese,1,184.89,Wallet,9,231,Active,2,Delivered
C2317,Male,Adult,Karachi,O6317,McDonald's,Pizza,Continental,4,1314.73,Wallet,18,310,Active,5,Delivered
C6262,Female,Senior,Multan,O10262,KFC,Pasta,Fast Food,2,257.44,Card,41,98,Active,4,Delivered
C5702,Other,Senior,Multan,O9702,Burger King,Pasta,Dessert,4,200.97,Wallet,3,238,Inactive,5,Delayed
C6165,Female,Teenager,Karachi,O10165,Burger King,Fries,Dessert,4,1074.93,Card,5,215,Active,3,Cancelled
C1053,Female,Senior,Islamabad,O5053,Subway,Sandwich,Continental,1,1094.1,Wallet,39,110,Active,4,Delayed
C5285,Female,Senior,Karachi,O9285,Pizza Hut,Burger,Fast Food,2,209.07,Wallet,23,257,Active,2,Delivered
C6496,Male,Adult,Lahore,O10496,Burger King,Pizza,Continental,2,226.01,Cash,30,402,Active,1,Cancelled
C1698,Male,Adult,Multan,O5698,McDonald's,Burger,Dessert,4,1312.55,Card,39,138,Active,1,Delivered
C1993,Other,Senior,Peshawar,O5993,Burger King,Pizza,Fast Food,1,219.65,Wallet,14,394,Active,3,Delayed
C6047,Female,Teenager,Multan,O10047,Pizza Hut,Fries,Continental,4,293.44,Wallet,30,327,Inactive,1,Delivered
C6159,Female,Adult,Islamabad,O10159,Subway,Fries,Chinese,2,831.6,Wallet,12,44,Active,4,Delayed
C5266,Female,Adult,Lahore,O9266,Pizza Hut,Pasta,Chinese,5,690.91,Cash,14,307,Active,3,Delayed
